T_K,P_bar,T_C,P_GPa,nno_log10fo2,rro_log10fo2,dnno7
1473.15,7000,1200,0.7,-7.50937232193044,-5.78691381629475,1.2224585056356894
1423.15,7000,1150,0.7,-8.08088539622976,-6.31367474431515,1.2672106519146107
1373.15,7000,1100,0.7,-8.69466473964478,-6.87977688808627,1.5148878515585107
1323.15,7000,1050,0.7,-9.35552701805591,-7.48971723545576,2.065809782600149
1298.15,7000,1025,0.7,-9.7053228866639,-7.81272226180067,2.49260062486323
1273.15,7000,1000,0.7,-10.0690474663242,-8.14870212033727,3.120345345986931
1248.15,7000,975,0.7,-10.4475416346306,-8.49844225543881,3.2490993791917893
1223.15,7000,950,0.7,-10.8417151727852,-8.86279256352678,3.2789226092584203
