Run,T (°C),P (GPa),Phasea,# Analyses,  SiO2,𝛔,  TiO2,𝛔,  Al2O3,𝛔,  FeO,𝛔,  MnO,𝛔,  MgO,𝛔,  CaO,𝛔,  Na2O,𝛔,  K2O,𝛔,  P2O5,𝛔,Totalb,Endmembersc
FM43,1140,1.0,Melt,22,48.15,0.20,0.89,0.02,18.96,0.14,9.59,0.10,0.26,0.03,8.20,0.07,10.94,0.10,1.82,0.09,1.01,0.02,0.16,0.03,93.32,
FM40,1110,0.8,Melt,22,48.30,0.15,0.89,0.03,19.08,0.12,9.50,0.10,0.27,0.03,7.89,0.07,11.01,0.09,1.87,0.10,1.03,0.03,0.17,0.04,93.54,
FM85,1095,0.8,Melt,12,48.76,0.17,0.92,0.02,19.37,0.15,8.90,0.12,0.27,0.03,7.43,0.08,11.31,0.12,1.84,0.09,1.02,0.05,0.19,0.05,93.69,
FM81,1080,0.8,Melt,15,48.85,0.17,0.94,0.02,19.69,0.16,8.98,0.12,0.26,0.02,7.02,0.07,11.18,0.11,1.86,0.09,1.03,0.04,0.19,0.04,93.88,
FM93,1050,0.6,Melt,17,49.31,0.24,1.12,0.03,19.52,0.17,10.43,0.12,0.31,0.03,5.50,0.08,10.15,0.15,2.18,0.11,1.27,0.04,0.21,0.06,93.32,
FM127,1020,0.4,Melt,10,49.43,0.24,1.18,0.03,19.97,0.13,9.84,0.12,0.31,0.02,5.42,0.10,10.08,0.06,2.30,0.10,1.26,0.02,0.22,0.02,92.75,
FM129,990,0.4,Melt,11,51.16,0.23,1.00,0.03,19.39,0.18,10.81,0.13,0.35,0.04,4.32,0.10,9.00,0.09,2.28,0.12,1.42,0.05,0.26,0.02,91.82,
FM146,960,0.2,Melt,14,60.63,0.40,0.68,0.06,18.04,0.21,5.15,0.13,0.34,0.05,2.55,0.06,5.63,0.20,3.95,0.19,2.58,0.04,0.45,0.06,94.01,
