Run#,T(°C),Phase,#,SiO2,Si Std,TiO2,Ti Std,Cr2O3,Cr Std,Al2O3,Al Std,FeO,Fe Std,MnO,Mn Std,NiO,Ni Std,MgO,Mg Std,CaO,Ca Std,Na2O,Na Std,K2O,K Std,P2O5,P Std,Total,xMg,
,,cpx,4,50.08,-84,0.83,-16,n.d.,,5.05,-75,8.18,-22,0.59,-3,n.d.,,14.63,-31,19.48,-44,0.32,-3,0.01,-1,0.01,-1,99.17,0.761,
PU1069,980,glass,13,50.97,-33,0.92,-3,n.d.,,16.65,-11,6.17,-8,0.31,-7,n.d.,,2.35,-3,6.82,-8,2.66,-5,1.54,-3,0.23,-5,88.62,0.405,
,,cpx,19,48.7,-79,0.77,-20,n.d.,,5.11,-119,8.65,-33,0.71,-9,n.d.,,13.23,-57,19.35,-50,0.46,-7,n.d.,,n.d.,,97,0.732,
PU1061,950,glass,29,53.24,-34,0.9,-8,n.d.,,17.69,-20,6.1,-14,0.27,-3,n.d.,,2.21,-7,6.83,-8,2.91,-10,1.52,-5,0.21,-2,91.87,0.393,
,,amp,25,41.57,-16,2.26,-18,n.d.,,14.79,-30,11.45,-42,0.33,-4,n.d.,,13.13,-20,10.48,-20,2.17,-6,0.85,-4,0.04,-2,97.09,0.671,
,,gar,10,38.75,-21,0.55,-17,n.d.,,22.38,-21,19.13,-33,2.09,-21,n.d.,,9.23,-43,7.58,-38,0.03,-2,0.01,-1,0.05,-1,99.79,0.462,
,,cpx,7,51.6,-103,0.65,-8,n.d.,,5.5,-99,10.62,-93,0.84,-19,n.d.,,12.99,-52,18.89,-34,0.53,-8,0.04,-1,0.01,-1,101.66,0.685,
PU1063,900,glass,12,54.23,-43,0.48,-3,n.d.,,16.86,-14,3.74,-12,0.09,-2,n.d.,,0.97,-5,5.28,-8,2.92,-5,1.7,-5,0.28,-3,86.56,0.317,
,,amp,5,40.62,-44,2.14,-18,n.d.,,15.94,-21,15.18,-21,0.26,-4,n.d.,,9.93,-17,10.41,-28,2.14,-8,0.92,-5,0.03,-1,97.57,0.538,
,,gar,8,36.83,-29,1.37,-11,n.d.,,21.06,-18,22.12,-41,1.69,-9,n.d.,,6.06,-50,9.29,-22,0.04,-1,0.01,-1,0.06,-3,98.83,0.328,
