FAMOS UID,,District Name,Deposit/Region,Sample Classification,Lithology,Rock Type,,Elemental composition,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,LOI,Total,,Trace elements,As,Ba,Co,Cr,Cs,Cu,Ga,Mo,Nb,Ni,Pb,Rb,Sb,Sc,Se,Sn,Sr,Th,U,V,W,Y,Zn,Zr,,Trace elements,La139_ppm,Ce140_ppm,Pr141_ppm,Nd144_ppm,Sm149_ppm,Eu153_ppm,Gd158_ppm,Tb159_ppm,Dy163_ppm,Ho165_ppm,Er166_ppm,Tm169_ppm,Yb172_ppm,Lu175_ppm,Hf180_ppm,Ta181_ppm,,RSD,La139_ppm,Ce140_ppm,Pr141_ppm,Nd144_ppm,Sm149_ppm,Eu153_ppm,Gd158_ppm,Tb159_ppm,Dy163_ppm,Ho165_ppm,Er166_ppm,Tm169_ppm,Yb172_ppm,Lu175_ppm,Hf180_ppm,Ta181_ppm
SLLB0803,,Rio Blanco-Los Bronces,San Manuel,Intrusive Complex (deposit host),San Francisco Batholith,Granodiorite,,,66.6,0.52,15.5,1.95,0.01,1.55,2.5,4.1,4.2,0.13,0.48,1.08,98.6,,,2.6,625,4.7,5,6.7,2709,16,122,6.2,5.6,4.5,132,<0.9,6,0.57,<0.8,448,7.2,2.6,90,5,11,16,185,,,21,43,5,18,3.5,0.8,2.6,0.36,1.9,0.35,1.01,0.14,0.99,0.15,5.4,0.34,,,2.1,1.82,1.68,1.83,4.5,4,6.1,2.4,6.5,7.6,2.8,5.6,2.1,7.9,2.3,2.7
SLLB 0114,,Rio Blanco-Los Bronces,San Manuel,Intrusive Complex (deposit host),San Francisco Batholith,Quartz Monzonite,,,62.5,0.54,17.9,5.85,0.03,2.03,2.3,4.9,1.31,0.2,0.01,1.53,99.1,,,22,441,11,7,<1.7,326,22,8.2,6.4,8.4,11,50,2.63,9.4,<0.6,<0.9,613,5.6,2.3,101,<1.0,10,45,130,,,16,34,4.5,17,3.8,1.03,2.8,0.38,2.1,0.41,1.08,0.17,1.12,0.17,4.4,0.34,,,2.1,1.92,0.89,2.9,2.6,3.6,6,4.4,4.4,3.3,7.4,1.22,1.96,5.3,2.1,6.9
SLLB 0408,,Rio Blanco-Los Bronces,Plomo,Porphyry (prospect),Porphyry,Monzonite,,,59.7,0.69,17.8,5.29,0.07,2.82,5.6,4.9,1.2,0.2,<0.001,1.03,99.3,,,12,431,14,46,5.6,6.4,21,1.4,4.8,25,7.7,49,1.72,14,<0.6,<0.9,743,5.5,1.41,150,<1.1,8.8,43,99,,,18,36,4.2,14,2.7,0.73,1.7,0.2,0.96,0.17,0.41,0.08,0.37,0.05,2.6,0.23,,,2.2,2.1,0.76,2.1,2.1,1.94,7.2,3.4,11.5,2.1,3.9,8,15.5,8.5,1.56,4
SAF01,,Rio Blanco-Los Bronces,Valle El Plomo,Intrusive Complex,San Francisco Batholith,Monzonite,,,62.9,0.69,16.5,4.94,0.07,2.39,4.5,4.8,2.5,0.17,<0.001,0.06,99.6,,,3.7,535,14,24,3.4,36,20,2.3,6.3,16,14,82,<1.0,8.3,<0.6,<0.9,533,7.2,2,118,<1.1,13,57,161,,,18,38,4.8,17,3.6,0.89,3.2,0.39,2.1,0.38,1.12,0.16,1.05,0.15,4.7,0.38,,,1.87,1.52,1.34,2.3,4,5.5,3.8,4.7,3,6.3,6.7,6.2,3.2,4.8,0.93,3.1
SLLB0614,,Rio Blanco-Los Bronces,Los Piches,Intrusive Complex,San Francisco Batholith,Monzonite,,,62.9,0.64,16.9,4.52,0.07,2.07,4.1,4.7,2.6,0.16,<0.001,0.98,99.7,,,13,569,13,18,<1.8,44,20,1.7,6.6,15,10,86,1.11,10,<0.6,<0.9,513,7.9,2,103,<1.0,15,237,170,,,20,43,5.3,19,4.1,0.91,3.1,0.44,2.5,0.49,1.35,0.2,1.36,0.18,5.3,0.37,,,0.8,0.71,0.29,0.2,1.26,4.3,1.12,1.05,2.5,0.97,4.7,3.4,4.3,2.5,1.23,0.98
DOL05,,Rio Blanco-Los Bronces,Quebrada Dolores,Intrusive Complex,San Francisco Batholith,Mozonite,,,64.1,0.55,17,3.87,0.04,1.63,4,4.8,2.7,0.17,<0.001,0.61,99.4,,,12,602,8.1,20,1.7,21,20,3.7,6.4,9.7,14,75,1.14,8.7,0.95,<0.9,584,8.6,3,84,<1.0,11,40,142,,,16,37,4.5,18,3.2,0.89,2.8,0.35,1.88,0.37,1.12,0.25,1.02,0.16,4.3,0.45,,,2.2,1.49,4.1,3.6,11,10,7.2,9.1,8.4,9.2,9,11,9.6,19,4.8,5.9
DOL02,,Rio Blanco-Los Bronces,Quebrada Dolores,Intrusive Complex,San Francisco Batholith,QuartMonzonite,,,64.1,0.58,16.6,4.14,0.06,1.98,4,5.2,2.5,0.16,<0.001,0.41,99.6,,,15,546,9.1,27,<1.8,19,20,2.7,5.8,15,10,88,2,12,<0.6,<0.9,561,8,2,100,<1.0,11,59,142,,,23,44,5.1,18,3.5,0.85,3.4,0.36,1.9,0.37,0.99,0.15,0.93,0.13,4.4,0.38,,,3.7,3.8,3.2,2.5,2.3,4.4,3,2.5,5.8,3.3,1.64,3.7,3.1,5.5,3.2,6.2
SLLB 0412,,Rio Blanco-Los Bronces,Plomo,Porphyry (prospect),Late Porphyry,Andesite,,,50.4,0.84,16.9,8.53,0.11,7.29,9,3.8,1.18,0.18,0.02,0.89,99.1,,,22,154,29,240,18,19,18,2.5,5.9,50,9.4,73,3.3,34,<0.7,<1.0,497,2.3,1.47,265,<1.2,16,66,85,,,14,26,3,11,3,0.98,3,0.48,2.8,0.57,1.59,0.23,1.54,0.23,2.4,0.24,,,2,2.6,2.2,2.7,6.1,2.8,3,4,4.9,3.5,3.2,5.6,4.4,5.7,4,4.6
MV01,,Rio Blanco-Los Bronces,Valle El Plomo,Intrusive Complex,San Francisco Batholith,Granodiorite,,,59.8,0.76,17.7,5.84,0.09,2.99,5.3,4.5,1.61,0.23,<0.001,0.68,99.4,,,11,322,13,25,3.5,40,22,1.48,6,11,8.4,51,<1.0,13,<0.6,<0.9,717,5.6,1.54,145,<1.1,12,85,103,,,18,38,4.8,20,4.5,1,3.2,0.44,2.3,0.47,1.34,0.26,1.25,0.16,3.7,0.33,,,2.1,1.62,3.8,3.8,10,9.8,6.5,8.6,8,8.3,8.7,11,9.3,20,5.5,6.6
ORT04,,Rio Blanco-Los Bronces,Ortiga,Porphyry (prospect),Porphyry,Quartz Monzonite,,,69.8,0.35,14.8,2.76,0.04,0.98,2.1,4.7,3.2,0.1,<0.001,0.31,99.2,,,11,671,11,11,<1.8,29,18,2.9,5.9,15,15,105,<0.9,6.1,<0.5,<0.8,349,12,4,53,<0.9,8.2,51,149,,,18,34,3.6,12,2.2,0.58,2.3,0.24,1.2,0.27,0.7,0.12,0.74,0.11,4.2,0.5,,,1.69,2.7,2.8,1.68,6.2,4.6,2.3,3,2.8,2.3,4.6,2.8,6,3.6,0.23,4.6
ORT03,,Rio Blanco-Los Bronces,Ortiga,Porphyry (prospect),Porphyry,Monzodiorite,,,58.5,0.81,17.1,5.93,0.17,2.63,4.6,5.6,2.6,0.17,0.04,1.22,99.4,,,7.8,511,14,26,<1.7,33,20,2.8,6.9,12,13,57,1.87,17,0.84,1.69,405,11,2.7,143,<1.1,19,103,199,,,17,39,4.8,21,5,1.06,4.1,0.6,3.7,0.76,2.1,0.37,2.2,0.35,6.5,0.44,,,2.5,1.64,4.4,3.8,10,11,7.1,8.5,6.8,7.5,7.9,11,8,15,4.6,6.4
SLLB 0212,,Rio Blanco-Los Bronces,San Manuel,Intrusive Complex (deposit host),San Francisco Batholith,Quartz Monzonite,,,67.2,0.42,15.7,3.24,0.04,1.18,2.8,4.5,3,0.13,<0.001,0.3,98.5,,,11,559,6.8,<0.6,3.3,54,19,6.8,7.5,3.9,7.6,114,<0.9,7.1,<0.6,<0.8,445,12,3.5,65,<1.0,12,25,181,,,18,39,4.8,16,3.4,0.76,3.1,0.36,1.85,0.36,1.1,0.16,1.16,0.16,5.1,0.56,,,1.14,0.88,1.34,0.96,5.8,3.2,6.3,7.7,3.6,3.4,2,9.4,1.14,1.48,2.3,4.3
ORT05,,Rio Blanco-Los Bronces,Ortiga,Intrusive Complex,San Francisco Batholith,Monzonite,,,58.6,0.98,17,6.82,0.13,3.26,4.2,4.4,2.9,0.21,0.01,1.29,99.8,,,7.9,493,20,37,<1.7,46,21,1.75,7.4,20,10,97,1.15,16,<0.7,<0.9,524,11,2.9,158,<1.1,20,68,213,,,20,42,5.8,23,5.7,1.07,4.5,0.54,3.8,0.69,2,0.37,2,0.27,6.1,0.46,,,2.9,1.77,4.9,4.6,11,12,6.9,10,7.9,8.5,9,11,8.8,20,5.1,6.7
RIE03,,Rio Blanco-Los Bronces,Riecillo,Intrusive Complex,San Francisco Batholith,Quartz Monzonite,,,65.8,0.54,15.3,4.06,0.11,1.51,2.8,4.5,3.1,0.12,<0.001,1.16,99,,,11,529,6.8,11,2.5,18,17,2.2,7.1,7,19,120,<0.9,11,<0.6,<0.8,290,14,4.1,80,1.06,17,86,202,,,16,32,3.7,13,2.9,0.7,2.8,0.4,2.4,0.53,1.59,0.24,1.63,0.28,6.5,0.54,,,1.43,2.1,3.9,7,2.7,5.7,7.7,2.6,4.6,4.7,3.2,6.1,2.7,8.2,1.76,3.9
WEC05,,Rio Blanco-Los Bronces,W El Cruce,Intrusive Complex,San Francisco Batholith,Diorite,,,62.2,0.95,15.9,5.88,0.1,2.46,4.2,4.1,3.7,0.19,<0.001,0.31,100,,,7.7,501,16,30,4.2,23,19,3.1,9.8,13,14,150,1.83,14,<0.7,<0.9,348,15,3.5,120,<1.1,23,58,254,,,19,45,6.1,24,5.1,1.08,4.9,0.65,4.6,0.92,2.6,0.35,2.6,0.39,9.2,0.7,,,2.4,1.47,4.1,3.6,10,11,6.4,8.1,6.5,6.7,7,11,7.8,15,4,5.6
SLLB0613,,Rio Blanco-Los Bronces,Los Piches,Porphyry (prospect),Porphyry,Granodiorite,,,73.8,0.22,13.3,1.28,0.02,0.28,0.45,3.4,5.3,0.04,<0.001,1.04,99.2,,,7.4,565,<1.1,<0.6,<1.8,25,15,1.9,8.3,1.79,21,145,2.5,3.3,<0.5,<0.8,195,23,3.3,15,<0.9,11,120,161,,,25,56,5.8,18,3.2,0.45,2.1,0.3,1.51,0.29,0.83,0.14,0.94,0.15,5.6,0.75,,,4.2,3.3,2,3.8,8.9,5.9,1.5,8.2,1.34,0.72,5.4,6.1,11.2,9.4,5.5,1.15
