CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,Unnamed: 171
[21249],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MICHOACAN / MICHOACAN-GUANAJUATO VOLCANIC FIELD,,20.0,20.55,-100.7,-101.6,SAE,,,s_M133 [21249],BASALTIC-ANDESITE [21249],,,,QUATERNARY [21249],,,,,VOL,,,,,WR [21249] ,54.541,1.464,,17.278,,,,7.74,7.406,4.501,0.132,,1.423,4.188,0.436,,,,,,,,,,,,,,,,0.054,,,,,,,,,,,,,,12.2315301540647,1.79550448119263,,,,,,,,,,,,,21.5271460359154,,158.195276936395,76.4139619930531,,,24.7991044718176,34.3192277394096,31.3574886700609,91.8849029846109,21.4609408057351,,,,,24.086932696477,650.491041842751,42.7456702579028,200.811565779636,15.3236109609422,1.20088883998626,,,,,,,1.31103615104171,0.0765347849592739,,,0.658159172819495,496.778107374425,48.6122036366198,57.4201967018404,9.48345848616916,43.0013234702936,8.48562239312104,2.34814143250466,8.62130823448462,1.21917677061146,7.0639020805427,1.39903737873474,3.78914925403741,,3.28181285232317,0.480383264298289,4.49923948672384,0.887788261616066,0.276834637514433,,,,,,,0.111407182284625,6.66417828140084,,2.29538091061812,0.764000159410757,0.512824,,,0.704085,,18.7124947217508,,15.5982387286694,,38.4837084144859,,,,,,,,,,,,,,,1219110.0,
[21249],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MICHOACAN / MICHOACAN-GUANAJUATO VOLCANIC FIELD,,20.0,20.55,-100.7,-101.6,SAE,,,s_M134 [21249],BASALTIC-ANDESITE [21249],,,,QUATERNARY [21249],,,,,VOL,,,,,WR [21249] ,55.751,1.256,,17.421,,,,7.16,6.937,4.032,0.125,,1.774,3.919,0.391,,,,,,,,,,,,,,,,0.057,,,,,,,,,,,,,,10.6482092272062,1.61433456535034,,,,,,,,,,,,,19.426492572487,,154.443974212009,48.395765909376,,,22.3327744117891,36.8294720233614,37.7301223625302,84.988033423876,20.8241314075917,,,,,30.9055352293939,584.943491909119,24.3971159235841,218.648637808198,16.4037842191149,1.37847707352539,,,,,,,1.35037504005503,0.0880987733909285,,,0.669389458958201,526.96070882333,24.6806561907811,52.5369599450666,6.62486584176875,26.3849373275771,5.63762038268728,1.55012391401859,5.19166382913176,0.768327017099392,4.4875043886315,0.878733559653295,2.39684020427417,,2.22816277764915,0.332569606523605,4.72805923352974,0.961239942130653,0.283512802555626,,,,,,,0.111619072072475,7.5507827575642,,2.32412934914546,0.794554178605885,0.51285,,,0.704067,,18.7160659116528,,15.5993491802615,,38.497299921674,,,,,,,,,,,,,,,1219111.0,
[20978],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / NAYARIT / SANGANGUEY,,21.4555,21.4555,-104.6913,-104.6913,SAE,,,s_XAL-103 [20978],ANDESITE [20978],,,,,,,,,VOL,,,,,WR [20978] ,59.7,0.73,,18.1,,1.19,3.89,,5.97,3.09,0.1,,1.89,3.65,0.18,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,114.7,26.8,,,13.7,16.7,,58.2,17.5,,,,,29.0,687.8,16.6,122.6,6.6,,,,,,,,,,,,,763.9,19.4,42.3,,,,,,,,,,,,,,,,,,,,,,,9.6,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1225819.0,
[20978],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / NAYARIT / SANGANGUEY,,21.473,21.473,-104.7887,-104.7887,SAE,,,s_XAL-117 [20978],ANDESITE [20978],,,,,,,,,VOL,,,,,WR [20978] ,60.4,0.73,,17.0,,1.2,3.7,,5.33,2.67,0.1,,2.44,3.64,0.22,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,96.8,22.0,,,12.3,13.8,,62.2,17.0,,,,,31.7,634.2,18.7,153.7,9.0,,,,,,,,,,,,,801.9,18.6,46.8,,,,,,,,,,,,,,,,,,,,,,,9.0,,3.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,1225820.0,
[20978],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / NAYARIT / SANGANGUEY,,21.4315,21.4315,-104.7658,-104.7658,SAE,,,s_XAL-109 [20978],ANDESITE [20978],,,,,,,,,VOL,,,,,WR [20978] ,60.9,0.71,,17.1,,1.48,3.56,,5.48,2.8,0.1,,1.99,3.81,0.2,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,96.5,27.7,,,11.1,14.2,,63.2,17.3,,,,,30.7,629.8,18.4,151.3,8.0,,,,,,,,,,,,,803.5,21.1,41.5,,,,,,,,,,,,,,,,,,,,,,,7.7,,2.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,1225821.0,
[20978],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / NAYARIT / SANGANGUEY,,21.4708,21.4708,-104.702,-104.702,SAE,,,s_XAL-132 [20978],ANDESITE [20978],,,,,,,,,VOL,,,,,WR [20978] ,61.1,0.73,,17.6,,1.08,3.97,,5.61,2.82,0.1,,1.85,3.82,0.2,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,106.0,29.0,,,11.0,16.0,20.0,64.0,18.6,,,,,870.0,646.0,17.6,154.0,9.6,,,,,,,,,,,,,872.0,20.0,46.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,2.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1225822.0,
[20978],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / NAYARIT / SANGANGUEY,,21.4115,21.4115,-104.7413,-104.7413,SAE,,,s_XAL-115 [20978],DACITE [20978],,,,,,,,,VOL,,,,,WR [20978] ,65.4,0.56,,16.1,,0.88,2.37,,2.68,0.99,0.12,,3.02,4.73,0.21,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,26.6,0.1,,,1.6,0.0,,71.1,17.5,,,,,40.6,485.6,29.1,223.8,16.7,,,,,,,,,,,,,1097.8,46.6,53.4,,,,,,,,,,,,,,,,,,,,,,,9.9,,4.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,1225823.0,
[20978],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / NAYARIT / SANGANGUEY,,21.4832,21.4832,-104.698,-104.698,SAE,,,s_XAL-129 [20978],DACITE [20978],,,,,,,,,VOL,,,,,WR [20978] ,67.7,0.67,,15.9,,0.87,2.38,,2.42,0.89,0.11,,3.0,5.1,0.19,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,41.0,3.0,,,2.0,0.0,7.0,66.0,18.9,,,,,1064.0,385.0,38.2,267.0,20.2,,,,,,,,,,,,,1066.0,56.0,75.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,4.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,1225825.0,
[5389],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO / MASCOTA VOLCANIC COMPLEX,,20.4,20.67,-104.67,-104.9,SAE,,,s_20 [5389],ANDESITE [5389],,,,,,,,,VOL,,,,,WR [5389] ,55.1,0.91,,17.2,,2.71,3.47,,7.16,5.49,0.12,,2.28,4.1,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,24.3,1495.0,19.0,205.0,,,,,,,,,,,,,,1138.0,27.0,65.0,,6.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122630.0,
[5389],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO / MASCOTA VOLCANIC COMPLEX,,20.4,20.67,-104.67,-104.9,SAE,,,s_19 [5389],ANDESITE [5389],,,,,,,,,VOL,,,,,WR [5389] ,55.81,0.72,,17.52,,2.1,4.21,,7.02,5.98,0.12,,1.02,4.16,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,,,,,,,8.4,834.0,19.0,124.0,7.0,,,,,,,,,,,,,564.0,13.0,40.0,,14.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122631.0,
