CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,Unnamed: 171
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO,,41.58,41.58,-121.6,-121.6,SAE,,,s_79.3 [4703],BASALT [4703],,,,,,,,SUBOPHITIC [4703] ,VOL,,,,,WR [4703] ,50.11,1.1,,20.86,,,,8.19,10.54,4.06,0.13,,0.47,3.27,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101947.0,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / MODOC FLOWS,LATEST FLOW IN MODOC LAVA BEDS,41.883,41.883,-121.883,-121.883,SAE,,2412.0,s_80.26 [4703],BASALTIC-ANDESITE [4703],,,,,,,,SUBOPHITIC [4703] ,VOL,,,,,WR [4703] ,51.76,0.96,,16.81,,,,8.28,9.56,6.97,0.14,,0.91,2.61,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101948.0,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / MODOC FLOWS,LATEST FLOW IN MODOC LAVA BEDS,41.883,41.883,-121.883,-121.883,SAE,,2412.0,s_79.24C [4703],BASALTIC-ANDESITE [4703],,,,,,,,SUBOPHITIC [4703] ,VOL,,,,,WR [4703] ,52.94,0.8,,18.54,,,,7.14,9.29,6.55,0.13,,0.71,3.14,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101949.0,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / MODOC FLOWS,LATEST FLOW IN MODOC LAVA BEDS,41.883,41.883,-121.883,-121.883,SAE,,2412.0,s_79.38K [4703],BASALTIC-ANDESITE [4703],,,,,,,,SUBOPHITIC [4703] ,VOL,,,,,WR [4703] ,54.2,0.93,,17.48,,,,7.58,8.67,5.65,0.12,,0.99,3.32,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101950.0,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / MODOC FLOWS,LATEST FLOW IN MODOC LAVA BEDS,41.883,41.883,-121.883,-121.883,SAE,,2412.0,s_79.40G [4703],BASALTIC-ANDESITE [4703],,,,,,,,SUBOPHITIC [4703] ,VOL,,,,,WR [4703] ,51.59,0.97,,16.78,,,,8.41,9.94,7.16,0.15,,0.84,2.76,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101951.0,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / MODOC FLOWS,LATEST FLOW IN MODOC LAVA BEDS,41.883,41.883,-121.883,-121.883,SAE,,2412.0,s_79.4D [4703],BASALTIC-ANDESITE [4703],,,,,,,,SUBOPHITIC [4703] ,VOL,,,,,WR [4703] ,56.31,0.66,,16.68,,,,6.37,8.43,6.26,0.12,,1.46,2.73,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101952.0,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / MODOC FLOWS,LATEST FLOW IN MODOC LAVA BEDS,41.883,41.883,-121.883,-121.883,SAE,,2412.0,s_79.39B [4703],BASALTIC-ANDESITE [4703],,,,,,,,SUBOPHITIC [4703] ,VOL,,,,,WR [4703] ,57.15,1.17,,16.03,,,,6.78,7.27,4.29,0.11,,1.82,3.33,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101953.0,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / MODOC FLOWS,LATEST FLOW IN MODOC LAVA BEDS,41.883,41.883,-121.883,-121.883,SAE,,2412.0,s_79.35D [4703],BASALT [4703],,,,,,,,SUBOPHITIC [4703] ,VOL,,,,,WR [4703] ,47.68,0.71,,17.74,,,,8.75,11.74,9.35,0.16,,0.09,2.3,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101954.0,
[4446],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / LASSEN VOLCANIC CENTER,"HAT CREEK, AT BASE OF 12 M HIGH CLIFF IN COLLAPSE CRATER",40.5,40.5,-121.085,-121.085,SAE,,,s_HC4-0 [4446],BASALT [4446],,,,,,,,COARSELY CRYSTALLINE [4446] ,VOL,,,,,WR [4446] ,49.4,1.0,,17.4,,1.4,7.8,,10.6,8.7,0.21,,0.4,2.6,0.17,,0.35,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102260.0,
[4446],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / LASSEN VOLCANIC CENTER,"HAT CREEK, 3M ABOVE THE BASE OF 12 M HIGH CLIFF IN COLLAPSE CRATER",40.5,40.5,-121.085,-121.085,SAE,,,s_HC4-6 [4446],BASALT [4446],,,,,,,,,VOL,,,,,WR [4446] ,54.0,2.7,,13.7,,10.6,2.0,,6.4,3.6,0.24,,1.3,3.6,0.53,,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102262.0,
